time,load,solar,wind
2019-01-01 00:00:00,53836.79360000002,0.0,0.434
2019-01-01 01:00:00,54853.743900000016,0.0,0.464
2019-01-01 02:00:00,60254.77729999999,0.0,0.507
2019-01-01 03:00:00,60986.57600000001,0.0,0.48
2019-01-01 04:00:00,61268.31830000001,0.0,0.568
2019-01-01 05:00:00,61171.23290000001,0.0,0.574
2019-01-01 06:00:00,61223.31160000001,0.0,0.634
2019-01-01 07:00:00,61072.85810000002,0.0,0.615
2019-01-01 08:00:00,60704.2177,0.003,0.566
2019-01-01 09:00:00,61636.797800000015,0.064,0.561
2019-01-01 10:00:00,62135.10149999999,0.209,0.494
2019-01-01 11:00:00,63561.58280000002,0.437,0.547
2019-01-01 12:00:00,63269.39610000003,0.421,0.599
2019-01-01 13:00:00,62131.8042,0.261,0.604
2019-01-01 14:00:00,61011.1051,0.068,0.624
2019-01-01 15:00:00,62841.33660000002,0.0,0.661
2019-01-01 16:00:00,63030.97450000001,0.0,0.682
2019-01-01 17:00:00,65258.63,0.0,0.696
2019-01-01 18:00:00,64556.4768,0.0,0.705
2019-01-01 19:00:00,67647.4647,0.0,0.72
2019-01-01 20:00:00,66682.78450000001,0.0,0.697
2019-01-01 21:00:00,64860.05560000001,0.0,0.711
2019-01-01 22:00:00,63373.75319999999,0.0,0.746
2019-01-01 23:00:00,62643.15199999999,0.0,0.763
2019-01-02 00:00:00,56225.79190000002,0.0,0.772
2019-01-02 01:00:00,57739.71610000003,0.0,0.763
2019-01-02 02:00:00,56650.1066,0.0,0.746
2019-01-02 03:00:00,54758.64170000001,0.0,0.724
2019-01-02 04:00:00,51947.11320000001,0.0,0.709
2019-01-02 05:00:00,54254.9813,0.0,0.69
2019-01-02 06:00:00,54916.7298,0.0,0.658
2019-01-02 07:00:00,55264.81719999998,0.0,0.593
2019-01-02 08:00:00,60815.3212,0.109,0.498
2019-01-02 09:00:00,62216.864900000015,0.326,0.385
2019-01-02 10:00:00,61722.73,0.465,0.313
2019-01-02 11:00:00,70613.2738,0.517,0.348
2019-01-02 12:00:00,79101.52299999994,0.467,0.364
2019-01-02 13:00:00,77965.3293,0.358,0.328
2019-01-02 14:00:00,71665.48849999998,0.15,0.308
2019-01-02 15:00:00,63196.74480000001,0.001,0.337
2019-01-02 16:00:00,62988.21760000001,0.0,0.344
2019-01-02 17:00:00,63548.70510000002,0.0,0.321
2019-01-02 18:00:00,64688.57320000001,0.0,0.294
2019-01-02 19:00:00,64968.09640000001,0.0,0.272
2019-01-02 20:00:00,64286.8977,0.0,0.259
2019-01-02 21:00:00,61850.891,0.0,0.251
2019-01-02 22:00:00,60836.14590000001,0.0,0.254
2019-01-02 23:00:00,62931.89999999999,0.0,0.256
2019-01-03 00:00:00,62081.53290000001,0.0,0.256
2019-01-03 01:00:00,61798.9007,0.0,0.249
2019-01-03 02:00:00,61976.8069,0.0,0.245
2019-01-03 03:00:00,62334.18820000002,0.0,0.261
2019-01-03 04:00:00,62621.22800000001,0.0,0.291
2019-01-03 05:00:00,62872.4371,0.0,0.303
2019-01-03 06:00:00,62442.72609999999,0.0,0.312
2019-01-03 07:00:00,58584.8499,0.0,0.321
2019-01-03 08:00:00,61461.82649999997,0.039,0.311
2019-01-03 09:00:00,63252.2323,0.118,0.245
2019-01-03 10:00:00,62940.82910000001,0.209,0.196
2019-01-03 11:00:00,62873.85340000002,0.23,0.249
2019-01-03 12:00:00,63202.16380000001,0.182,0.267
2019-01-03 13:00:00,63888.7245,0.104,0.22
2019-01-03 14:00:00,65725.4345,0.045,0.228
2019-01-03 15:00:00,63760.60040000002,0.0,0.284
2019-01-03 16:00:00,63888.0154,0.0,0.308
2019-01-03 17:00:00,66129.60680000001,0.0,0.291
2019-01-03 18:00:00,67124.78500000002,0.0,0.243
2019-01-03 19:00:00,65251.76179999999,0.0,0.179
2019-01-03 20:00:00,63919.03240000001,0.0,0.163
2019-01-03 21:00:00,63183.98759999999,0.0,0.186
2019-01-03 22:00:00,61829.60370000001,0.0,0.178
2019-01-03 23:00:00,63699.99679999999,0.0,0.155
2019-01-04 00:00:00,62648.97169999999,0.0,0.145
2019-01-04 01:00:00,62570.53830000001,0.0,0.158
2019-01-04 02:00:00,62992.7108,0.0,0.182
2019-01-04 03:00:00,63082.1813,0.0,0.198
2019-01-04 04:00:00,63000.43460000001,0.0,0.223
2019-01-04 05:00:00,62862.45960000002,0.0,0.256
2019-01-04 06:00:00,62954.89039999999,0.0,0.285
2019-01-04 07:00:00,62945.4258,0.0,0.309
2019-01-04 08:00:00,68432.35299999999,0.027,0.308
2019-01-04 09:00:00,75581.33290000001,0.098,0.296
2019-01-04 10:00:00,90682.3583,0.127,0.322
2019-01-04 11:00:00,103304.18379999998,0.116,0.341
2019-01-04 12:00:00,102886.66389999996,0.077,0.368
2019-01-04 13:00:00,87935.2057,0.038,0.376
2019-01-04 14:00:00,71937.5552,0.01,0.367
2019-01-04 15:00:00,69658.2011,0.0,0.341
2019-01-04 16:00:00,69560.31190000002,0.0,0.306
2019-01-04 17:00:00,68855.74940000003,0.0,0.291
2019-01-04 18:00:00,68809.16870000001,0.0,0.289
2019-01-04 19:00:00,69781.89660000002,0.0,0.302
2019-01-04 20:00:00,67773.7071,0.0,0.319
2019-01-04 21:00:00,66294.77389999999,0.0,0.328
2019-01-04 22:00:00,64537.9829,0.0,0.349
2019-01-04 23:00:00,66859.82530000001,0.0,0.378
2019-01-05 00:00:00,64981.88010000001,0.0,0.408
2019-01-05 01:00:00,63686.32380000001,0.0,0.437
2019-01-05 02:00:00,62765.73910000002,0.0,0.468
2019-01-05 03:00:00,62282.067700000014,0.0,0.532
2019-01-05 04:00:00,62539.69900000001,0.0,0.54
2019-01-05 05:00:00,63011.24069999999,0.0,0.586
2019-01-05 06:00:00,62846.48960000002,0.0,0.623
2019-01-05 07:00:00,61765.65419999999,0.0,0.663
2019-01-05 08:00:00,66066.82629999999,0.018,0.68
